#tstp   Ax    Ay
189  -0.0125583  -0.0125583
190  -0.012855  -0.012855
191  -0.0131569  -0.0131569
192  -0.013464  -0.013464
193  -0.0137763  -0.0137763
194  -0.014094  -0.014094
195  -0.014417  -0.014417
196  -0.0147453  -0.0147453
197  -0.015079  -0.015079
198  -0.0154181  -0.0154181
199  -0.0157627  -0.0157627
200  -0.0161128  -0.0161128
201  -0.0164683  -0.0164683
202  -0.0168294  -0.0168294
203  -0.0171959  -0.0171959
204  -0.017568  -0.017568
205  -0.0179457  -0.0179457
206  -0.0183289  -0.0183289
207  -0.0187177  -0.0187177
208  -0.0191121  -0.0191121
209  -0.019512  -0.019512
210  -0.0199175  -0.0199175
211  -0.0203286  -0.0203286
212  -0.0207453  -0.0207453
213  -0.0211675  -0.0211675
214  -0.0215952  -0.0215952
215  -0.0220285  -0.0220285
216  -0.0224672  -0.0224672
217  -0.0229115  -0.0229115
218  -0.0233611  -0.0233611
219  -0.0238162  -0.0238162
220  -0.0242767  -0.0242767
221  -0.0247425  -0.0247425
222  -0.0252136  -0.0252136
223  -0.0256899  -0.0256899
224  -0.0261714  -0.0261714
225  -0.026658  -0.026658
226  -0.0271497  -0.0271497
227  -0.0276464  -0.0276464
228  -0.028148  -0.028148
229  -0.0286545  -0.0286545
230  -0.0291657  -0.0291657
231  -0.0296815  -0.0296815
232  -0.030202  -0.030202
233  -0.0307269  -0.0307269
234  -0.0312562  -0.0312562
235  -0.0317897  -0.0317897
236  -0.0323273  -0.0323273
237  -0.032869  -0.032869
238  -0.0334145  -0.0334145
239  -0.0339637  -0.0339637
240  -0.0345166  -0.0345166
241  -0.0350729  -0.0350729
242  -0.0356324  -0.0356324
243  -0.0361951  -0.0361951
244  -0.0367607  -0.0367607
245  -0.0373291  -0.0373291
246  -0.0379  -0.0379
247  -0.0384734  -0.0384734
248  -0.0390488  -0.0390488
249  -0.0396263  -0.0396263
250  -0.0402055  -0.0402055
251  -0.0407862  -0.0407862
252  -0.0413681  -0.0413681
253  -0.0419511  -0.0419511
254  -0.0425349  -0.0425349
255  -0.0431192  -0.0431192
256  -0.0437037  -0.0437037
257  -0.0442881  -0.0442881
258  -0.0448723  -0.0448723
259  -0.0454558  -0.0454558
260  -0.0460383  -0.0460383
261  -0.0466196  -0.0466196
262  -0.0471993  -0.0471993
263  -0.0477771  -0.0477771
264  -0.0483526  -0.0483526
265  -0.0489254  -0.0489254
266  -0.0494953  -0.0494953
267  -0.0500617  -0.0500617
268  -0.0506243  -0.0506243
269  -0.0511828  -0.0511828
270  -0.0517367  -0.0517367
271  -0.0522855  -0.0522855
272  -0.0528288  -0.0528288
273  -0.0533663  -0.0533663
274  -0.0538973  -0.0538973
275  -0.0544216  -0.0544216
276  -0.0549385  -0.0549385
277  -0.0554476  -0.0554476
278  -0.0559483  -0.0559483
279  -0.0564402  -0.0564402
280  -0.0569227  -0.0569227
281  -0.0573953  -0.0573953
282  -0.0578574  -0.0578574
283  -0.0583085  -0.0583085
284  -0.0587479  -0.0587479
285  -0.0591751  -0.0591751
286  -0.0595895  -0.0595895
287  -0.0599904  -0.0599904
288  -0.0603773  -0.0603773
289  -0.0607494  -0.0607494
290  -0.0611061  -0.0611061
291  -0.0614467  -0.0614467
292  -0.0617706  -0.0617706
293  -0.0620771  -0.0620771
294  -0.0623654  -0.0623654
295  -0.0626348  -0.0626348
296  -0.0628845  -0.0628845
297  -0.0631139  -0.0631139
298  -0.0633221  -0.0633221
299  -0.0635084  -0.0635084
300  -0.063672  -0.063672
301  -0.063812  -0.063812
302  -0.0639277  -0.0639277
303  -0.0640182  -0.0640182
304  -0.0640826  -0.0640826
305  -0.0641202  -0.0641202
306  -0.0641299  -0.0641299
307  -0.064111  -0.064111
308  -0.0640625  -0.0640625
309  -0.0639836  -0.0639836
310  -0.0638732  -0.0638732
311  -0.0637304  -0.0637304
312  -0.0635543  -0.0635543
313  -0.0633439  -0.0633439
314  -0.0630982  -0.0630982
315  -0.0628162  -0.0628162
316  -0.0624969  -0.0624969
317  -0.0621393  -0.0621393
318  -0.0617424  -0.0617424
319  -0.061305  -0.061305
320  -0.0608262  -0.0608262
321  -0.0603048  -0.0603048
322  -0.0597398  -0.0597398
323  -0.0591301  -0.0591301
324  -0.0584745  -0.0584745
325  -0.0577719  -0.0577719
326  -0.0570213  -0.0570213
327  -0.0562213  -0.0562213
328  -0.055371  -0.055371
329  -0.0544691  -0.0544691
330  -0.0535144  -0.0535144
331  -0.0525057  -0.0525057
332  -0.0514419  -0.0514419
333  -0.0503218  -0.0503218
334  -0.049144  -0.049144
335  -0.0479074  -0.0479074
336  -0.0466107  -0.0466107
337  -0.0452527  -0.0452527
338  -0.0438321  -0.0438321
339  -0.0423477  -0.0423477
340  -0.0407981  -0.0407981
